"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 18 16:36:28 UTC 2026","Sat Apr 18 16:36:29 UTC 2026","292","Files","","","","","cy.fixture() - load a fixture",""
"passed","Sat Apr 18 16:36:52 UTC 2026","Sat Apr 18 16:36:53 UTC 2026","406","Network Requests","","","","","cy.intercept() - route responses to matching requests",""
"passed","Sat Apr 18 16:37:23 UTC 2026","Sat Apr 18 16:37:24 UTC 2026","1070","Utilities","","","","","Cypress.Promise - instantiate a bluebird promise",""
"passed","Sat Apr 18 16:36:18 UTC 2026","Sat Apr 18 16:36:18 UTC 2026","182","Cookies","","","","","cy.getCookies() - get browser cookies for the current domain",""
"passed","Sat Apr 18 16:36:34 UTC 2026","Sat Apr 18 16:36:34 UTC 2026","82","Location","","","","","cy.url() - get the current URL",""
"passed","Sat Apr 18 16:36:24 UTC 2026","Sat Apr 18 16:36:24 UTC 2026","77","Cypress APIs","Cypress.log","","","","Control what is printed to the Command Log",""
"passed","Sat Apr 18 16:35:50 UTC 2026","Sat Apr 18 16:35:51 UTC 2026","928","Actions","","","","",".select() - select an option in a <select> element",""
"passed","Sat Apr 18 16:37:18 UTC 2026","Sat Apr 18 16:37:18 UTC 2026","90","Traversal","","","","",".prevUntil() - get all previous sibling DOM elements until el",""
"passed","Sat Apr 18 16:36:18 UTC 2026","Sat Apr 18 16:36:18 UTC 2026","117","Cookies","","","","","cy.getAllCookies() - get all browser cookies",""
"passed","Sat Apr 18 16:36:46 UTC 2026","Sat Apr 18 16:36:46 UTC 2026","331","Navigation","","","","","cy.reload() - reload the page",""
"passed","Sat Apr 18 16:36:57 UTC 2026","Sat Apr 18 16:36:57 UTC 2026","83","Querying","","","","",".within() - query DOM elements within a specific element",""
"passed","Sat Apr 18 16:37:23 UTC 2026","Sat Apr 18 16:37:23 UTC 2026","75","Utilities","","","","","Cypress.minimatch - test out glob patterns against strings",""
"passed","Sat Apr 18 16:37:40 UTC 2026","Sat Apr 18 16:37:40 UTC 2026","204","Waiting","","","","","cy.wait() - wait for a specific route",""
"passed","Sat Apr 18 16:35:51 UTC 2026","Sat Apr 18 16:35:53 UTC 2026","2123","Actions","","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Sat Apr 18 16:35:39 UTC 2026","Sat Apr 18 16:35:39 UTC 2026","247","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Sat Apr 18 16:36:41 UTC 2026","Sat Apr 18 16:36:46 UTC 2026","5417","Ejemplo de pom de la web Free Range Testesr","","","","","Navegar A la Pagina de Inicio/Blog",""
"passed","Sat Apr 18 16:35:40 UTC 2026","Sat Apr 18 16:35:41 UTC 2026","1434","Ejemplos con Feature","","","","","Login usando data del fixture",""
"passed","Sat Apr 18 16:35:39 UTC 2026","Sat Apr 18 16:35:39 UTC 2026","244","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Sat Apr 18 16:37:45 UTC 2026","Sat Apr 18 16:37:45 UTC 2026","80","Window","","","","","cy.document() - get the document object",""
"passed","Sat Apr 18 16:36:34 UTC 2026","Sat Apr 18 16:36:34 UTC 2026","206","Location","","","","","cy.hash() - get the current URL hash",""
"skipped","Sat Apr 18 16:36:19 UTC 2026","Sat Apr 18 16:36:21 UTC 2026","1692","Tablas estáticas y dinámicas","","","","","Validamos tabla dinámica",""
"passed","Sat Apr 18 16:35:51 UTC 2026","Sat Apr 18 16:35:51 UTC 2026","124","Actions","","","","",".trigger() - trigger an event on a DOM element",""
"passed","Sat Apr 18 16:37:11 UTC 2026","Sat Apr 18 16:37:11 UTC 2026","153","Local Storage / Session Storage","","","","","cy.clearAllLocalStorage() - clear all data in localStorage for all origins",""
"passed","Sat Apr 18 16:35:35 UTC 2026","Sat Apr 18 16:35:35 UTC 2026","152","Pruebas de Apis con Cypress","","","","","El Put request funciona correctamentamente",""
"passed","Sat Apr 18 16:36:04 UTC 2026","Sat Apr 18 16:36:04 UTC 2026","105","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Sat Apr 18 16:37:10 UTC 2026","Sat Apr 18 16:37:11 UTC 2026","457","Local Storage / Session Storage","","","","","cy.clearLocalStorage() - clear all data in localStorage for the current origin",""
"passed","Sat Apr 18 16:37:23 UTC 2026","Sat Apr 18 16:37:23 UTC 2026","184","Utilities","","","","","Cypress.$ - call a jQuery method",""
"passed","Sat Apr 18 16:37:17 UTC 2026","Sat Apr 18 16:37:17 UTC 2026","84","Traversal","","","","",".not() - remove DOM elements from set of DOM elements",""
"passed","Sat Apr 18 16:36:12 UTC 2026","Sat Apr 18 16:36:12 UTC 2026","96","Connectors","","","","",".invoke() - invoke a function on the current subject",""
"passed","Sat Apr 18 16:35:44 UTC 2026","Sat Apr 18 16:35:44 UTC 2026","127","Actions","","","","",".focus() - focus on a DOM element",""
"passed","Sat Apr 18 16:37:05 UTC 2026","Sat Apr 18 16:37:06 UTC 2026","175","Spies, Stubs, and Clock","","","","","cy.clock() - control time in the browser",""
"passed","Sat Apr 18 16:36:18 UTC 2026","Sat Apr 18 16:36:18 UTC 2026","91","Cookies","","","","","cy.setCookie() - set a browser cookie",""
"passed","Sat Apr 18 16:35:58 UTC 2026","Sat Apr 18 16:35:59 UTC 2026","443","Aliasing","","","","",".as() - alias a route for later use",""
"passed","Sat Apr 18 16:37:17 UTC 2026","Sat Apr 18 16:37:17 UTC 2026","93","Traversal","","","","",".next() - get next sibling DOM element",""
"passed","Sat Apr 18 16:36:41 UTC 2026","Sat Apr 18 16:36:41 UTC 2026","75","Misc","Cypress.Screenshot","","","","Cypress.Screenshot.defaults() - change default config of screenshots",""
"passed","Sat Apr 18 16:36:29 UTC 2026","Sat Apr 18 16:36:29 UTC 2026","89","Files","","","","","cy.fixture() or require - load a fixture",""
"passed","Sat Apr 18 16:36:23 UTC 2026","Sat Apr 18 16:36:25 UTC 2026","1597","Tablas estáticas y dinámicas","Tablas estáticas y dinámicas","","","","Validamos tabla estática",""
"passed","Sat Apr 18 16:35:45 UTC 2026","Sat Apr 18 16:35:45 UTC 2026","487","Actions","","","","",".clear() - clears an input or textarea element",""
"passed","Sat Apr 18 16:36:23 UTC 2026","Sat Apr 18 16:36:23 UTC 2026","93","Cypress APIs","Cypress.config()","","","","Get and set configuration options",""
"passed","Sat Apr 18 16:36:40 UTC 2026","Sat Apr 18 16:36:40 UTC 2026","77","Misc","","","","","cy.wrap() - wrap an object",""
"passed","Sat Apr 18 16:36:15 UTC 2026","Sat Apr 18 16:36:15 UTC 2026","492","Loquear-Basic Auth y Auth con Forms","","","","","Realizo Login Usando Comando Personalizado",""
"passed","Sat Apr 18 16:36:18 UTC 2026","Sat Apr 18 16:36:18 UTC 2026","101","Cookies","","","","","cy.clearAllCookies() - clear all browser cookies",""
"passed","Sat Apr 18 16:37:18 UTC 2026","Sat Apr 18 16:37:18 UTC 2026","88","Traversal","","","","",".siblings() - get all sibling DOM elements",""
"passed","Sat Apr 18 16:36:24 UTC 2026","Sat Apr 18 16:36:24 UTC 2026","82","Cypress APIs","Cypress.version","","","","Get current version of Cypress being run",""
"passed","Sat Apr 18 16:37:23 UTC 2026","Sat Apr 18 16:37:23 UTC 2026","260","Utilities","","","","","Cypress._ - call a lodash method",""
"passed","Sat Apr 18 16:37:11 UTC 2026","Sat Apr 18 16:37:11 UTC 2026","144","Local Storage / Session Storage","","","","","cy.getAllSessionStorage() - get all data in sessionStorage for all origins",""
"passed","Sat Apr 18 16:37:06 UTC 2026","Sat Apr 18 16:37:06 UTC 2026","28","Spies, Stubs, and Clock","","","","","matches call arguments using Sinon matchers",""
"passed","Sat Apr 18 16:37:17 UTC 2026","Sat Apr 18 16:37:17 UTC 2026","88","Traversal","","","","",".parents() - get parent DOM elements from DOM elements",""
"passed","Sat Apr 18 16:36:34 UTC 2026","Sat Apr 18 16:36:34 UTC 2026","88","Location","","","","","cy.location() - get window.location",""
"passed","Sat Apr 18 16:37:16 UTC 2026","Sat Apr 18 16:37:17 UTC 2026","97","Traversal","","","","",".find() - get descendant DOM elements of the selector",""
"passed","Sat Apr 18 16:36:24 UTC 2026","Sat Apr 18 16:36:24 UTC 2026","76","Cypress APIs","Cypress.spec","","","","Get current spec information",""
"passed","Sat Apr 18 16:35:58 UTC 2026","Sat Apr 18 16:36:04 UTC 2026","6267","Home de www.freerangetesters.com","","","","","Navega a Experiencia real en QA",""
"passed","Sat Apr 18 16:37:05 UTC 2026","Sat Apr 18 16:37:05 UTC 2026","88","Spies, Stubs, and Clock","","","","","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Sat Apr 18 16:37:45 UTC 2026","Sat Apr 18 16:37:45 UTC 2026","75","Window","","","","","cy.title() - get the title",""
"passed","Sat Apr 18 16:36:23 UTC 2026","Sat Apr 18 16:36:23 UTC 2026","197","Cypress APIs","Cypress.Commands","","","",".add() - create a custom command",""
"passed","Sat Apr 18 16:37:17 UTC 2026","Sat Apr 18 16:37:17 UTC 2026","89","Traversal","","","","",".nextUntil() - get next sibling DOM elements until next el",""
"passed","Sat Apr 18 16:35:58 UTC 2026","Sat Apr 18 16:35:58 UTC 2026","391","Aliasing","","","","",".as() - alias a DOM element for later use",""
"passed","Sat Apr 18 16:36:57 UTC 2026","Sat Apr 18 16:36:57 UTC 2026","239","Querying","","","","","cy.get() - query DOM elements",""
"passed","Sat Apr 18 16:36:58 UTC 2026","Sat Apr 18 16:36:58 UTC 2026","85","Querying","","","","","cy.root() - query the root DOM element",""
"passed","Sat Apr 18 16:35:53 UTC 2026","Sat Apr 18 16:35:58 UTC 2026","5073","Ejemplos con FeatureCursos sea el titulo dehttps://www.freerangetesters.com/cursos","","","","","Validar titulo de la pagina",""
"passed","Sat Apr 18 16:36:00 UTC 2026","Sat Apr 18 16:36:02 UTC 2026","1832","Ejemplos con FeatureUdemy sea el titulo dehttps://www.freerangetesters.com/udemy","","","","","Validar titulo de la pagina",""
"passed","Sat Apr 18 16:35:44 UTC 2026","Sat Apr 18 16:35:45 UTC 2026","374","Actions","","","","",".blur() - blur off a DOM element",""
"passed","Sat Apr 18 16:37:18 UTC 2026","Sat Apr 18 16:37:18 UTC 2026","120","Traversal","","","","",".prev() - get previous sibling DOM element",""
"passed","Sat Apr 18 16:37:23 UTC 2026","Sat Apr 18 16:37:23 UTC 2026","205","Utilities","","","","","Cypress.Blob - blob utilities and base64 string conversion",""
"passed","Sat Apr 18 16:35:40 UTC 2026","Sat Apr 18 16:35:44 UTC 2026","3780","Actions","","","","",".type() - type into a DOM element",""
"passed","Sat Apr 18 16:37:16 UTC 2026","Sat Apr 18 16:37:16 UTC 2026","99","Traversal","","","","",".closest() - get closest ancestor DOM element",""
"passed","Sat Apr 18 16:36:08 UTC 2026","Sat Apr 18 16:36:08 UTC 2026","313","Pruebas de promesas en Cypress","","","","","Ejercicio 4: Cypress.Promise con delay",""
"passed","Sat Apr 18 16:37:36 UTC 2026","Sat Apr 18 16:37:40 UTC 2026","4391","Waiting","","","","","cy.wait() - wait for a specific amount of time",""
"passed","Sat Apr 18 16:36:05 UTC 2026","Sat Apr 18 16:36:05 UTC 2026","130","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Sat Apr 18 16:36:58 UTC 2026","Sat Apr 18 16:36:58 UTC 2026","589","Querying","","","","","best practices - selecting elements",""
"passed","Sat Apr 18 16:37:11 UTC 2026","Sat Apr 18 16:37:12 UTC 2026","154","Local Storage / Session Storage","","","","","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins",""
"passed","Sat Apr 18 16:37:03 UTC 2026","Sat Apr 18 16:37:05 UTC 2026","2534","Spies, Stubs, and Clock","","","","","cy.spy() retries until assertions pass",""
"passed","Sat Apr 18 16:36:05 UTC 2026","Sat Apr 18 16:36:05 UTC 2026","123","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"passed","Sat Apr 18 16:36:12 UTC 2026","Sat Apr 18 16:36:12 UTC 2026","96","Connectors","","","","",".spread() - spread an array as individual args to callback function",""
"passed","Sat Apr 18 16:35:38 UTC 2026","Sat Apr 18 16:35:39 UTC 2026","178","example to-do app","","","","","can check off an item as completed",""
"passed","Sat Apr 18 16:36:31 UTC 2026","Sat Apr 18 16:36:35 UTC 2026","3557","Test de Popup","","","","","Debería abrir un popup cuando se haga clic en el botón",""
"passed","Sat Apr 18 16:35:38 UTC 2026","Sat Apr 18 16:35:38 UTC 2026","393","example to-do app","","","","","can add new todo items",""
"passed","Sat Apr 18 16:36:52 UTC 2026","Sat Apr 18 16:36:52 UTC 2026","212","Network Requests","","","","","cy.request() - save response in the shared test context",""
"passed","Sat Apr 18 16:36:29 UTC 2026","Sat Apr 18 16:36:29 UTC 2026","202","Files","","","","","cy.writeFile() - write to a file",""
"passed","Sat Apr 18 16:36:08 UTC 2026","Sat Apr 18 16:36:08 UTC 2026","57","Pruebas de promesas en Cypress","","","","","Ejercicio 3: axios con manejo de errores",""
"passed","Sat Apr 18 16:35:45 UTC 2026","Sat Apr 18 16:35:51 UTC 2026","6441","Pruebas de Accesibilidad en Free Range Tester","","","","","Analisis de accesibilidad en el link Cursos",""
"passed","Sat Apr 18 16:36:13 UTC 2026","Sat Apr 18 16:36:13 UTC 2026","83","Connectors",".then()","","","","yields the value yielded by the last Cypress command inside",""
"passed","Sat Apr 18 16:37:06 UTC 2026","Sat Apr 18 16:37:06 UTC 2026","22","Spies, Stubs, and Clock","","","","","cy.stub() matches depending on arguments",""
"passed","Sat Apr 18 16:36:17 UTC 2026","Sat Apr 18 16:36:17 UTC 2026","296","Cookies","","","","","cy.getCookie() - get a browser cookie",""
"passed","Sat Apr 18 16:37:11 UTC 2026","Sat Apr 18 16:37:11 UTC 2026","158","Local Storage / Session Storage","","","","","cy.getAllLocalStorage() - get all data in localStorage for all origins",""
"passed","Sat Apr 18 16:36:57 UTC 2026","Sat Apr 18 16:36:57 UTC 2026","114","Querying","","","","","cy.contains() - query DOM elements with matching content",""
"passed","Sat Apr 18 16:36:04 UTC 2026","Sat Apr 18 16:36:04 UTC 2026","109","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
"passed","Sat Apr 18 16:35:50 UTC 2026","Sat Apr 18 16:35:53 UTC 2026","2794","Ejemplos con FeatureFree Range Testers sea el titulo dehttps://www.freerangetesters.com/blog","","","","","Validar titulo de la pagina",""
"passed","Sat Apr 18 16:36:05 UTC 2026","Sat Apr 18 16:36:07 UTC 2026","1599","Assertions","Explicit Assertions","","","","retries the should callback until assertions pass",""
"passed","Sat Apr 18 16:36:13 UTC 2026","Sat Apr 18 16:36:14 UTC 2026","1246","Sesiones en Cypress","","","","","Login y acceso a área segura con cookie de sesión",""
"passed","Sat Apr 18 16:36:52 UTC 2026","Sat Apr 18 16:36:52 UTC 2026","165","Network Requests","","","","","cy.request() with query parameters",""
"passed","Sat Apr 18 16:36:12 UTC 2026","Sat Apr 18 16:36:12 UTC 2026","96","Connectors",".then()","","","","invokes a callback function with the current subject",""
"passed","Sat Apr 18 16:36:40 UTC 2026","Sat Apr 18 16:36:40 UTC 2026","256","Misc","","","","","cy.focused() - get the DOM element that has focus",""
"passed","Sat Apr 18 16:35:51 UTC 2026","Sat Apr 18 16:35:51 UTC 2026","128","Actions","","","","",".scrollIntoView() - scroll an element into view",""
"passed","Sat Apr 18 16:36:45 UTC 2026","Sat Apr 18 16:36:46 UTC 2026","870","Navigation","","","","","cy.go() - go back or forward in the browser's history",""
"passed","Sat Apr 18 16:36:12 UTC 2026","Sat Apr 18 16:36:13 UTC 2026","88","Connectors",".then()","","","","yields the returned value to the next command",""
"passed","Sat Apr 18 16:36:46 UTC 2026","Sat Apr 18 16:36:47 UTC 2026","291","Navigation","","","","","cy.visit() - visit a remote url",""
"passed","Sat Apr 18 16:36:04 UTC 2026","Sat Apr 18 16:36:04 UTC 2026","294","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
"passed","Sat Apr 18 16:36:18 UTC 2026","Sat Apr 18 16:36:18 UTC 2026","168","Cookies","","","","","cy.clearCookies() - clear browser cookies for the current domain",""
"passed","Sat Apr 18 16:35:49 UTC 2026","Sat Apr 18 16:35:50 UTC 2026","770","Actions","","","","",".uncheck() - uncheck a checkbox element",""
"passed","Sat Apr 18 16:37:45 UTC 2026","Sat Apr 18 16:37:45 UTC 2026","193","Window","","","","","cy.window() - get the global window object",""
"passed","Sat Apr 18 16:36:24 UTC 2026","Sat Apr 18 16:36:24 UTC 2026","79","Cypress APIs","Cypress.env()","","","","Get environment variables",""
"passed","Sat Apr 18 16:36:07 UTC 2026","Sat Apr 18 16:36:07 UTC 2026","611","Pruebas de promesas en Cypress","","","","","Ejercicio 1: promesa simple con setTimeout",""
"passed","Sat Apr 18 16:37:16 UTC 2026","Sat Apr 18 16:37:16 UTC 2026","92","Traversal","","","","",".eq() - get a DOM element at a specific index",""
"passed","Sat Apr 18 16:36:04 UTC 2026","Sat Apr 18 16:36:04 UTC 2026","174","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"passed","Sat Apr 18 16:36:38 UTC 2026","Sat Apr 18 16:36:39 UTC 2026","1187","Misc","","","","","cy.exec() - execute a system command",""
"passed","Sat Apr 18 16:36:12 UTC 2026","Sat Apr 18 16:36:12 UTC 2026","231","Connectors","","","","",".each() - iterate over an array of elements",""
"passed","Sat Apr 18 16:35:37 UTC 2026","Sat Apr 18 16:35:38 UTC 2026","473","example to-do app","","","","","displays two todo items by default",""
"passed","Sat Apr 18 16:36:40 UTC 2026","Sat Apr 18 16:36:41 UTC 2026","806","Misc","Cypress.Screenshot","","","","cy.screenshot() - take a screenshot",""
"passed","Sat Apr 18 16:35:59 UTC 2026","Sat Apr 18 16:36:00 UTC 2026","1356","Ejemplos con FeatureMentoría personalizada de avance de carrera para testers de software sea el titulo dehttps://www.freerangetesters.com/mentoria-1-1-con-pato","","","","","Validar titulo de la pagina",""
"passed","Sat Apr 18 16:36:23 UTC 2026","Sat Apr 18 16:36:23 UTC 2026","82","Cypress APIs","Cypress.arch","","","","Get CPU architecture name of underlying OS",""
"passed","Sat Apr 18 16:37:17 UTC 2026","Sat Apr 18 16:37:17 UTC 2026","95","Traversal","","","","",".first() - get first DOM element",""
"passed","Sat Apr 18 16:36:52 UTC 2026","Sat Apr 18 16:36:52 UTC 2026","240","Network Requests","","","","","cy.request() - pass result to the second request",""
"passed","Sat Apr 18 16:37:17 UTC 2026","Sat Apr 18 16:37:17 UTC 2026","86","Traversal","","","","",".last() - get last DOM element",""
"passed","Sat Apr 18 16:35:48 UTC 2026","Sat Apr 18 16:35:49 UTC 2026","764","Actions","","","","",".check() - check a checkbox or radio element",""
"passed","Sat Apr 18 16:35:48 UTC 2026","Sat Apr 18 16:35:48 UTC 2026","192","Actions","","","","",".dblclick() - double click on a DOM element",""
"passed","Sat Apr 18 16:36:24 UTC 2026","Sat Apr 18 16:36:24 UTC 2026","72","Cypress APIs","Cypress.platform","","","","Get underlying OS name",""
"passed","Sat Apr 18 16:36:10 UTC 2026","Sat Apr 18 16:36:10 UTC 2026","96","Loguenado Via Api con Db-Seeding","","","","","Login vía API con usuario semilla",""
"passed","Sat Apr 18 16:35:46 UTC 2026","Sat Apr 18 16:35:50 UTC 2026","3867","Ejemplos con FeatureObtené experiencia real sea el titulo dehttps://www.freerangetesters.com/experiencia-en-qa","","","","","Validar titulo de la pagina",""
"passed","Sat Apr 18 16:36:18 UTC 2026","Sat Apr 18 16:36:18 UTC 2026","179","Cookies","","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Sat Apr 18 16:37:17 UTC 2026","Sat Apr 18 16:37:17 UTC 2026","85","Traversal","","","","",".nextAll() - get all next sibling DOM elements",""
"passed","Sat Apr 18 16:37:16 UTC 2026","Sat Apr 18 16:37:16 UTC 2026","203","Traversal","","","","",".children() - get child DOM elements",""
"passed","Sat Apr 18 16:37:18 UTC 2026","Sat Apr 18 16:37:18 UTC 2026","103","Traversal","","","","",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Sat Apr 18 16:37:18 UTC 2026","Sat Apr 18 16:37:18 UTC 2026","106","Traversal","","","","",".prevAll() - get all previous sibling DOM elements",""
"failed","Sat Apr 18 16:36:20 UTC 2026","Sat Apr 18 16:36:25 UTC 2026","4947","Trabajando con panatallas modales","","","","","Valido un texto de un elemento en un Iframe",""
"passed","Sat Apr 18 16:37:06 UTC 2026","Sat Apr 18 16:37:06 UTC 2026","239","Spies, Stubs, and Clock","","","","","cy.tick() - move time in the browser",""
"passed","Sat Apr 18 16:36:23 UTC 2026","Sat Apr 18 16:36:23 UTC 2026","105","Cypress APIs","Cypress.Cookies","","","",".debug() - enable or disable debugging",""
"passed","Sat Apr 18 16:36:51 UTC 2026","Sat Apr 18 16:36:51 UTC 2026","373","Network Requests","","","","","cy.request() - make an XHR request",""
"passed","Sat Apr 18 16:36:05 UTC 2026","Sat Apr 18 16:36:05 UTC 2026","119","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Sat Apr 18 16:36:08 UTC 2026","Sat Apr 18 16:36:08 UTC 2026","274","Pruebas de promesas en Cypress","","","","","Ejercicio 2: fetch a API pública",""
"passed","Sat Apr 18 16:35:46 UTC 2026","Sat Apr 18 16:35:48 UTC 2026","1844","Actions","","","","",".click() - click on a DOM element",""
"passed","Sat Apr 18 16:36:51 UTC 2026","Sat Apr 18 16:36:52 UTC 2026","231","Network Requests","","","","","cy.request() - verify response using BDD syntax",""
"passed","Sat Apr 18 16:36:13 UTC 2026","Sat Apr 18 16:36:13 UTC 2026","84","Connectors",".then()","","","","yields the original subject without return",""
"passed","Sat Apr 18 16:36:07 UTC 2026","Sat Apr 18 16:36:08 UTC 2026","1061","Pruebas de Intercept con Cypress","","","","","Simula una solicitud Get a /Posts con Stub",""
"passed","Sat Apr 18 16:36:29 UTC 2026","Sat Apr 18 16:36:29 UTC 2026","100","Files","","","","","cy.readFile() - read file contents",""
"passed","Sat Apr 18 16:37:17 UTC 2026","Sat Apr 18 16:37:17 UTC 2026","103","Traversal","","","","",".parent() - get parent DOM element from DOM elements",""
"passed","Sat Apr 18 16:35:48 UTC 2026","Sat Apr 18 16:35:48 UTC 2026","179","Actions","","","","",".rightclick() - right click on a DOM element",""
"passed","Sat Apr 18 16:36:24 UTC 2026","Sat Apr 18 16:36:24 UTC 2026","82","Cypress APIs","Cypress.dom","","","",".isHidden() - determine if a DOM element is hidden",""
"passed","Sat Apr 18 16:35:39 UTC 2026","Sat Apr 18 16:35:39 UTC 2026","253","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Sat Apr 18 16:36:12 UTC 2026","Sat Apr 18 16:36:12 UTC 2026","121","Connectors","","","","",".its() - get properties on the current subject",""
"passed","Sat Apr 18 16:37:16 UTC 2026","Sat Apr 18 16:37:16 UTC 2026","94","Traversal","","","","",".filter() - get DOM elements that match the selector",""
"passed","Sat Apr 18 16:37:03 UTC 2026","Sat Apr 18 16:37:03 UTC 2026","183","Spies, Stubs, and Clock","","","","","cy.spy() - wrap a method in a spy",""
"passed","Sat Apr 18 16:36:04 UTC 2026","Sat Apr 18 16:36:04 UTC 2026","108","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
"passed","Sat Apr 18 16:35:35 UTC 2026","Sat Apr 18 16:35:35 UTC 2026","45","Pruebas de Apis con Cypress","","","","","El Delete request funciona correctamentamente",""
"passed","Sat Apr 18 16:35:45 UTC 2026","Sat Apr 18 16:35:46 UTC 2026","417","Actions","","","","",".submit() - submit a form",""
"passed","Sat Apr 18 16:37:29 UTC 2026","Sat Apr 18 16:37:31 UTC 2026","2757","Viewport","","","","","cy.viewport() - set the viewport size and dimension",""
